Property,Jun 2023,% Occupied
1003-BH1-JVC,70.00%,70.00%
1003-EDR-DWTN,86.67%,86.67%
1006-BS8-BUSBAY,60.00%,60.00%
1006-MG-ARJ,30.00%,30.00%
106-Y3-DWTN,53.33%,53.33%
1102-ARTB-DAMHL,26.67%,26.67%
1103-EDR-DWTN,53.33%,53.33%
1107-V-DAMHL2,20.00%,20.00%
110-AMV-DUMAR,73.33%,73.33%
111-B3-DEAMER,100.00%,100.00%
113-MG-ARJ,100.00%,100.00%
1204-BR-DWTN,70.00%,70.00%
127-VP-ARJ,43.33%,43.33%
132-L21-JVC,16.67%,16.67%
134-VN-DUBLND,73.33%,73.33%
1401-ARTD-DAMHL,23.33%,23.33%
1502-EDR-DWTN,43.33%,43.33%
1507-EBBR-BUSBAY,63.33%,63.33%
1509-1R2-ALKIF,33.33%,33.33%
1509-EBBR-BUSBAY,70.00%,70.00%
1510-EBBR-BUSBAY,76.67%,76.67%
1511-EBBR-BUSBAY,33.33%,33.33%
153-L21-JVC,100.00%,100.00%
1603-C2.0-DUBHL,83.33%,83.33%
1803-SDF4-JBR,16.67%,16.67%
1903-OT-DUBMAR,53.33%,53.33%
1905-BR-DWTN,50.00%,50.00%
1922-EBBR-BUSBAY,36.67%,36.67%
2001-SR3-DWTN,100.00%,100.00%
2012-EBBR-BUSBAY,20.00%,20.00%
204-GR-NADASH,50.00%,50.00%
206-GR-NADASH,43.33%,43.33%
208-GR-NADASH,26.67%,26.67%
212-LM-JVC,96.67%,96.67%
227-L21-JVC,93.33%,93.33%
2402-MW2-DM,20.00%,20.00%
2407-DV1-DWTN,76.67%,76.67%
2503-STB-DUBMAR,96.67%,96.67%
2508-JGT-JBR,40.00%,40.00%
2605-BA-AJDF,40.00%,40.00%
2704-DH-DUBMAR,63.33%,63.33%
303-HV1-DCRHR,90.00%,90.00%
304-C-DAMHL2,26.67%,26.67%
307-BR-DWTN,100.00%,100.00%
308-JGT-JBR,93.33%,93.33%
314-ER1-DUBHL,56.67%,56.67%
3311-CC-DAMHL,0.00%,0.00%
405-YB-DUBMAR,3.33%,3.33%
406B-BT1-DWTN,6.67%,6.67%
410-ER1-DUBHL,83.33%,83.33%
4401-BH1-DWTN,56.67%,56.67%
501-TCA-IMPZ,46.67%,46.67%
505-B184-DISGAR,50.00%,50.00%
508-EDR-DWTN,56.67%,56.67%
602B-L3A-DAMHL,53.33%,53.33%
605-RP-DWTN,0.00%,0.00%
611-AJ-JVT,63.33%,63.33%
622-BH-N,0.00%,0.00%
702-ELZ-ARJ,76.67%,76.67%
706-LTW-DWTN,60.00%,60.00%
707-MRB-DUBMAR,60.00%,60.00%
809-PH1-DUBHL,0.00%,0.00%
810-RR-BUSBAY,0.00%,0.00%
811-AJ-JVT,96.67%,96.67%
903-AOR-PLMJ,46.67%,46.67%
908-BR-DWTN,46.67%,46.67%
908-VR-BUSBAY,56.67%,56.67%
913-MG-ARJ,73.33%,73.33%
G05-Y2-DWTN,66.67%,66.67%
P505-BVT-EBFRT,36.67%,36.67%
